日付,スコア,品質,タイム,就寝時刻,起床時刻
2023/11/24,74,普通,8h 57m,21:35,8:16
2023/11/23,62,普通,9h 45m,23:54,10:44
2023/11/22,86,良い,8h 8m,23:56,9:12
2023/11/21,84,良い,6h 28m,23:53,6:33
2023/11/20,87,良い,8h 3m,1:00,9:29
2023/11/19,81,良い,7h 42m,1:54,10:12
2023/11/18,72,普通,8h 42m,23:30,9:36
2023/11/17,87,良い,7h 8m,22:59,6:30
2023/11/16,78,普通,7h 0m,22:51,6:31
2023/11/15,76,普通,12h 36m,17:07,6:21
2023/11/14,17,悪い,6h 3m,0:16,6:30
2023/11/13,85,良い,6h 10m,0:20,6:30
2023/11/12,83,良い,6h 16m,0:14,6:30
2023/11/11,64,普通,4h 51m,1:33,6:24
2023/11/10,86,良い,7h 25m,0:30,8:23
2023/11/09,91,非常に良い,7h 50m,0:24,8:41
2023/11/08,85,良い,6h 2m,0:28,6:30
2023/11/07,84,良い,5h 58m,0:23,6:32
2023/11/06,85,良い,6h 56m,23:29,6:25
2023/11/05,95,非常に良い,8h 22m,22:25,7:30
2023/11/04,87,良い,6h 36m,23:22,6:09
2023/11/03,86,良い,6h 38m,22:47,5:35
2023/11/02,91,非常に良い,6h 48m,23:41,6:31
2023/11/01,64,普通,5h 30m,0:38,6:26
2023/10/31,67,普通,5h 7m,1:21,6:33
2023/10/30,82,良い,6h 38m,23:42,6:32
2023/10/29,83,良い,5h 58m,0:30,6:31
2023/10/28,--,悪い,2h 59m,8:07,11:06
2023/10/27,90,非常に良い,7h 56m,22:38,6:34
2023/10/26,83,良い,6h 15m,0:14,6:29
2023/10/25,72,普通,5h 26m,1:04,6:30
2023/10/24,63,普通,4h 47m,1:42,6:29
2023/10/23,87,良い,8h 24m,21:48,6:30
2023/10/22,94,非常に良い,8h 21m,23:57,8:53
2023/10/21,86,良い,7h 15m,1:00,9:11
2023/10/20,91,非常に良い,7h 25m,23:00,6:25
2023/10/19,72,普通,5h 53m,0:17,6:28
2023/10/18,89,良い,8h 31m,0:05,8:58
2023/10/17,79,普通,5h 56m,23:58,5:54
2023/10/16,78,普通,6h 0m,0:34,6:34
2023/10/15,86,良い,6h 29m,0:01,6:30
2023/10/14,49,悪い,4h 16m,8:09,12:37
2023/10/13,91,非常に良い,7h 9m,23:20,6:29
2023/10/12,66,普通,4h 45m,1:47,6:32
2023/10/11,99,非常に良い,9h 25m,21:08,6:33
2023/10/10,--,--,--,--,--
2023/10/09,92,非常に良い,10h 17m,1:22,12:18
2023/10/08,33,悪い,3h 18m,22:43,2:01
2023/10/07,78,普通,9h 27m,23:22,10:52
2023/10/06,83,良い,6h 5m,0:23,6:33
2023/10/05,65,普通,4h 57m,1:35,6:32
2023/10/04,85,良い,6h 29m,23:54,6:23
2023/10/03,74,普通,5h 40m,0:54,6:34
2023/10/02,67,普通,4h 54m,1:34,6:33
2023/10/01,64,普通,4h 47m,1:19,6:06
2023/09/30,93,非常に良い,7h 59m,1:44,9:43
2023/09/29,80,良い,7h 18m,22:53,6:30
2023/09/28,74,普通,5h 42m,0:36,6:26
2023/09/27,54,悪い,4h 45m,12:03,16:48
2023/09/26,93,非常に良い,9h 7m,23:20,8:47
2023/09/25,91,非常に良い,7h 27m,22:54,6:31
2023/09/24,87,良い,6h 23m,0:10,6:33
2023/09/23,94,非常に良い,8h 13m,1:02,9:30
2023/09/22,83,良い,6h 58m,0:30,8:05
2023/09/21,95,非常に良い,8h 52m,21:37,6:34
2023/09/20,84,良い,6h 9m,0:14,6:23
2023/09/19,88,良い,7h 27m,22:38,6:33
2023/09/18,49,悪い,4h 8m,9:28,13:38
2023/09/17,83,良い,6h 24m,23:45,6:33
2023/09/16,39,悪い,3h 37m,1:12,5:13
2023/09/15,66,普通,4h 43m,1:30,6:13
2023/09/14,84,良い,6h 9m,0:24,6:33
2023/09/13,68,普通,5h 6m,1:23,6:29
2023/09/12,67,普通,4h 56m,1:38,6:34
2023/09/11,84,良い,6h 11m,0:16,6:27
2023/09/10,91,非常に良い,9h 3m,21:30,6:33
2023/09/09,87,良い,6h 10m,0:23,6:33
2023/09/08,85,良い,5h 56m,0:37,6:33
2023/09/07,90,非常に良い,7h 38m,1:32,9:31
2023/09/06,81,良い,6h 24m,0:09,6:33
2023/09/05,87,良い,6h 40m,23:48,6:28
2023/09/04,91,非常に良い,8h 6m,0:10,8:48
2023/09/03,44,悪い,3h 51m,8:16,12:07
2023/09/02,88,良い,13h 49m,20:53,11:11
2023/09/01,70,普通,5h 30m,1:00,6:30
2023/08/31,70,普通,5h 23m,1:02,6:29
2023/08/30,85,良い,6h 40m,23:44,6:24
2023/08/29,66,普通,5h 27m,1:06,6:33
2023/08/28,95,非常に良い,7h 59m,22:18,6:31
