日付,体重 (kg),体脂肪 (kg),骨量 (kg),筋肉量 (kg),体水分率 (kg),コメント
2023-11-16 7:20:11,60.2,11,2.6,46.6,37.4,
2023-11-13 7:31:26,60.4,10.8,2.6,47,37.8,
2023-11-12 7:29:33,61.6,10.8,2.6,48.2,39.2,
2023-10-26 8:02:48,59.8,10.6,2.6,46.6,37.59,
2023-10-24 8:23:26,60.8,10.8,2.6,47.4,38.4,
2023-10-21 9:15:05,59.8,10.2,2.6,47,38,
2023-10-19 8:06:40,59.6,10.2,2.6,46.8,37.8,
2023-10-05 7:11:35,58.6,9.8,2.6,46.2,37.4,
2023-10-04 6:32:52,58.8,9.8,2.6,46.4,37.59,
2023-10-02 7:47:44,59.4,,,,,
2023-10-01 11:16:35,58,9,2.6,46.4,37.8,
2023-09-29 7:02:41,58.8,9.6,2.6,46.6,37.8,
2023-09-28 6:58:51,59.4,9.6,2.6,47.2,38.4,
2023-09-26 9:00:57,58.6,9.8,2.6,46.2,37.4,
2023-09-25 8:15:30,58.4,9.6,2.6,46.2,37.2,
2023-09-24 6:46:55,58,9.6,2.6,45.8,37,
2023-09-24 6:46:20,58,,,,,
2023-09-22 8:14:24,58.4,9.39,2.6,46.4,37.59,
2023-09-21 6:38:17,58.4,9.6,2.6,46.2,37.2,
2023-09-20 7:03:05,58.6,8.6,2.6,47.4,39,
2023-09-16 5:17:26,58.4,9,2.6,46.8,38.4,
2023-09-15 6:31:48,59.2,9.6,2.6,47,38.2,
2023-09-14 6:50:41,58.8,9.39,2.6,46.8,38,
2023-09-13 7:05:26,58.4,9.2,2.6,46.6,37.8,
2023-09-11 7:03:32,59.8,9.39,2.6,47.8,39.2,
2023-09-10 7:02:47,59.2,9.6,2.6,47,38.4,
2023-09-09 7:04:38,58.4,9.2,2.6,46.6,38,
2023-09-07 10:19:27,59.2,9.8,2.6,46.8,38,
2023-09-06 7:57:41,58.6,9.8,2.6,46.2,37.2,
2023-09-06 6:51:24,59.2,10.4,2.6,46.2,37.2,
2023-09-05 6:50:40,59.6,10,2.6,47,38,
2023-09-04 9:21:02,59.4,9.8,2.6,47,38.2,
2023-09-03 7:05:31,59,9.39,2.6,47,38.2,
2023-09-02 11:12:48,58.2,9.8,2.6,45.8,37,
2023-09-01 7:09:07,58.6,9.2,2.6,46.8,38.2,
2023-08-30 7:03:18,59.4,9.8,2.6,47,38.2,
2023-08-29 7:07:20,59.8,9.39,2.6,47.8,39.2,
2023-08-28 7:11:18,59.8,9.6,2.6,47.6,39,
2023-08-27 7:26:29,59.4,9.39,2.6,47.4,38.8,
2023-08-26 7:27:37,58.2,9.2,2.6,46.4,37.8,
2023-08-24 6:03:12,58.4,9.6,2.6,46.2,37.4,
2023-08-23 7:04:35,58.6,9.39,2.6,46.6,37.8,
2023-08-22 7:08:57,59.2,9.6,2.6,47,38.2,
2023-08-21 7:16:08,60,9.8,2.6,47.6,38.8,
2023-08-20 7:27:27,58.6,9.2,2.6,46.8,38,
2023-08-19 7:04:30,58.8,9.8,2.6,46.4,37.59,
2023-08-18 7:00:15,58.4,9.8,2.6,46,37.2,
2023-08-17 6:59:13,59,10.2,2.6,46.2,37.2,
2023-08-16 7:06:16,59.2,9.8,2.6,46.8,37.8,
2023-08-13 6:58:28,60,10.2,2.6,47.2,38.2,
2023-08-12 7:15:40,60.6,10.2,2.6,47.8,39,
2023-08-11 7:03:31,59,9.8,2.6,46.6,37.8,
2023-08-10 7:07:17,59.4,9.8,2.6,47,38.2,
2023-08-09 7:05:29,59.4,9.6,2.6,47.2,38.4,
2023-08-08 7:05:54,60,10,2.6,47.4,38.59,
2023-08-07 7:02:44,60.2,9.8,2.6,47.8,39,
2023-08-06 7:08:23,60.2,9.6,2.6,48,39.2,
2023-08-05 7:04:27,59.8,9.8,2.6,47.4,38.59,
2023-08-04 7:05:06,59.4,10,2.6,46.8,37.8,
2023-08-03 7:05:44,59.2,10,2.6,46.6,37.59,
2023-08-02 7:36:22,59.8,10.2,2.6,47,38,
2023-08-01 7:07:44,59.8,10.2,2.6,47,38.2,
2023-07-31 7:02:10,59.8,10,2.6,47.2,38.4,
2023-07-30 7:15:33,60,9.8,2.6,47.6,38.8,
2023-07-29 7:11:49,60,9.8,2.6,47.6,38.8,
2023-07-27 9:38:16,60,10.4,2.6,47,38,
2023-07-25 7:04:22,60.4,10,2.6,47.8,38.8,
2023-07-24 7:12:08,61,10.4,2.6,48,39,
2023-07-23 7:11:25,60,10.4,2.6,47,38,
